Number,From Name,To Number,To Name,ID,Circuit,Status,Xfrmr,From MW,From Mvar,From MVA,Lim MVA,MW Loss,Mvar Loss,Test No,Group,Condition,,
53,53,57,GEORGE T,194,1,Closed,Yes,103.2,-3.2,103.3,180,1.6,-1.7,4,LR,OK,,
57,GEORGE T,59,TEMCO,195,1,Closed,No,101.6,-1.5,101.6,180,1.6,-1.5,4,LR,OK,,
120,NBUSQUEW,132,132,196,1,Closed,No,159.4,45.5,165.8,180,0,29.9,4,LR,OK,,
11,SMITHTON,10,PORT LAT,197,1,Closed,No,-151,25.9,153.2,180,4.4,10.7,5,LR,OK,,
10,PORT LAT,20,BURNIE,198,1,Closed,No,-155.4,15.2,156.1,180,4.4,10.6,5,LR,OK,,
11,SMITHTON,20,BURNIE,199,1,Closed,No,-175.4,-5.6,175.5,100,0,41.3,5,LR,OK,,
33,SLACK,11,SMITHTON,200,1,Closed,Yes,-326.4,206.9,386.4,1000,0,186.6,5,LR,OK,,
12,EMU BAY,13,ULVERSTO,201,1,Closed,No,-21.5,-58.8,62.6,180,0.6,-6,5,LR,OK,,
20,BURNIE,12,EMU BAY,202,1,Closed,No,-20.8,-63.6,66.9,180,0.7,-4.7,5,LR,OK,,
13,ULVERSTO,14,PALOONA,203,1,Closed,No,-22.1,-52.9,57.3,180,0.4,-7.1,5,LR,OK,,
14,PALOONA,15,SHEFFIEL,204,1,Closed,No,-11.7,18.4,21.8,180,0.1,-8.6,5,LR,OK,,
15,SHEFFIEL,16,WESLEY V,205,1,Closed,No,0,-13.3,13.3,180,0,-8.8,5,LR,OK,,
15,SHEFFIEL,17,DEVONPOR,206,1,Closed,No,0,-13.3,13.3,180,0,-8.8,5,LR,OK,,
15,SHEFFIEL,18,RAILTON,207,1,Closed,No,0,-8.8,8.8,180,0,-8.8,5,LR,OK,,
19,DEVILS G,15,SHEFFIEL,208,1,Closed,No,-219.3,12.6,219.6,180,7.3,20.5,5,LR,OK,,
20,BURNIE,15,SHEFFIEL,209,1,Open,No,0,0,0,180,0,0,5,LR,OK,,
15,SHEFFIEL,22,SHEFF_B2,210,1,Closed,Yes,-238.4,54.5,244.5,1000,0,79.5,5,LR,OK,,
16,WESLEY V,17,DEVONPOR,211,1,Closed,No,0,-4.5,4.5,180,0,-8.9,5,LR,OK,,
19,DEVILS G,21,DEVILS B,212,1,Closed,Yes,219.3,-12.6,219.6,1000,0,68.3,5,LR,OK,,
23,,20,BURNIE,213,1,Closed,Yes,161.4,39.5,166.1,1000,0,42.5,5,LR,OK,,
34,Hamsphir,20,BURNIE,214,1,Closed,No,157.2,-9,157.4,180,4.2,9.2,5,LR,OK,,
22,SHEFF_B2,23,,215,1,Closed,No,165.9,49.3,173,180,4.5,9.8,5,LR,OK,,
42,FARRELL,22,SHEFF_B2,216,1,Closed,No,449.5,-21.7,450,180,28.7,105.7,5,LR,OK,,
48,CETHANA,22,SHEFF_B2,217,1,Closed,No,85,31.3,90.6,180,1.2,-4.1,5,LR,OK,,
49,WILMOT,22,SHEFF_B2,218,1,Closed,No,51,38.6,64,180,0.6,-6.3,5,LR,OK,,
50,LEMONTHY,22,SHEFF_B2,219,1,Closed,No,30,43.5,52.9,180,0.4,-7,5,LR,OK,,
51,FISHER,22,SHEFF_B2,220,1,Closed,No,53.1,38.2,65.4,180,0.6,-6.2,5,LR,OK,,
53,53,22,SHEFF_B2,221,1,Closed,No,-224.7,50.2,230.3,180,8.1,23.8,5,LR,OK,,
132,132,34,Hamsphir,222,1,Closed,No,157.2,21.1,158.6,180,0,30,5,LR,OK,,
132,132,35,Savage r,223,1,Closed,No,0,0,0,180,0,0,5,LR,OK,,
36,QUE,120,NBUSQUEW,224,1,Closed,No,0,0,0,180,0,-8.2,5,LR,OK,,
37,37,38,MACKINTO,225,1,Closed,No,-79.1,-17.4,81,180,0.9,-5.2,5,LR,OK,,
39,ROSEBERY,37,37,226,1,Closed,No,-0.6,4.7,4.8,180,0,-8.7,5,LR,OK,,
37,37,42,FARRELL,227,1,Closed,Yes,-78.2,2.2,78.2,180,0.9,-5.2,5,LR,OK,,
37,37,119,QUEENFAR,228,1,Closed,No,-0.5,-21.7,21.7,180,0,-8.6,5,LR,OK,,
37,37,120,NBUSQUEW,229,1,Closed,No,157.2,50.3,165,180,0,7.5,5,LR,OK,,
39,ROSEBERY,119,QUEENFAR,230,1,Closed,No,0.6,-4.7,4.8,0,0,0,5,LR,OK,,
